,index,type,id,nodes,tags,sub_id,is_reversed,length,start_node,end_node,unique_id,section_id
0,11,way,8068252,"[60358414, 8690937474, 60358417]","{'bicycle': 'yes', 'highway': 'footway', 'lit': 'no', 'segregated': 'no', 'surface': 'compacted'}",1,0,0.080849776663885,60358414,60358417,806825210,80682521
1,20,way,8110193,"[60358417, 60358503]","{'bicycle': 'yes', 'highway': 'footway', 'lit': 'no', 'segregated': 'no', 'surface': 'compacted'}",0,0,0.009585059590859,60358417,60358503,811019300,81101930
2,245,way,8902477,"[60358503, 8690937466, 60358504, 60358506]","{'bicycle': 'yes', 'highway': 'footway', 'lit': 'no', 'segregated': 'no', 'surface': 'compacted'}",2,0,0.07868065234275701,60358503,60358506,890247720,89024772
3,335,way,8902477,"[60358506, 4057919105, 60358509, 8690937476]","{'bicycle': 'yes', 'highway': 'footway', 'lit': 'no', 'segregated': 'no', 'surface': 'compacted'}",3,0,0.035803892880433,60358506,8690937476,890247730,89024773
4,387,way,8902477,"[8690937476, 8690937499, 60358510, 60358512, 4057919092, 60358513, 4057919091, 60358516, 4057919095, 60358518, 4057919099, 60358523]","{'bicycle': 'yes', 'highway': 'footway', 'lit': 'no', 'segregated': 'no', 'surface': 'compacted'}",4,0,0.127521296178503,8690937476,60358523,890247740,89024774
5,418,way,8902477,"[60358523, 4057919107, 4057919111, 65145440]","{'bicycle': 'yes', 'highway': 'footway', 'lit': 'no', 'segregated': 'no', 'surface': 'compacted'}",5,0,0.04675238550715401,60358523,65145440,890247750,89024775
6,504,way,8902539,"[65145440, 65144173, 65144717]","{'bicycle': 'yes', 'highway': 'footway', 'lit': 'no', 'segregated': 'no', 'surface': 'compacted'}",0,1,0.02473433318435,65145440,65144717,890253901,89025390
7,434,way,8068252,"[65144717, 4057919121]","{'bicycle': 'yes', 'highway': 'footway', 'lit': 'no', 'segregated': 'no', 'surface': 'compacted'}",6,0,0.031288651522139,65144717,4057919121,806825260,80682526
8,445,way,8068252,"[4057919121, 8691575941, 60358428, 60358430, 4057919187, 60358432, 4057919321, 60358434, 60358436, 55480087]","{'bicycle': 'yes', 'highway': 'footway', 'lit': 'no', 'segregated': 'no', 'surface': 'compacted'}",7,0,0.183790270422607,4057919121,55480087,806825270,80682527
9,760,way,206175592,"[55480087, 2161805807]","{'bicycle': 'yes', 'highway': 'footway', 'segregated': 'no', 'surface': 'compacted'}",2,1,0.074411450881184,55480087,2161805807,20617559221,2061755922
10,221,way,938407123,"[2161805807, 8693733040]","{'bicycle': 'yes', 'highway': 'footway', 'segregated': 'no', 'surface': 'compacted'}",0,0,0.01004179199602,2161805807,8693733040,93840712300,9384071230
11,377,way,938407121,"[8693733040, 2161812647, 2161805816, 616593834]","{'bicycle': 'permissive', 'foot': 'permissive', 'highway': 'service', 'lit': 'yes', 'maxspeed': '10', 'motor_vehicle': 'destination', 'name': 'Schlossgarten', 'surface': 'grass_paver'}",3,0,0.065023067122518,8693733040,616593834,93840712130,9384071213
12,218,way,938407120,"[616593834, 2161812645, 2161812643, 620405424]","{'bicycle': 'permissive', 'foot': 'permissive', 'highway': 'service', 'lit': 'yes', 'maxspeed': '10', 'motor_vehicle': 'destination', 'name': 'Schlossgarten', 'surface': 'asphalt'}",0,0,0.060912191811760004,616593834,620405424,93840712000,9384071200
13,135,way,206175597,"[620405424, 2161805810, 616593892]","{'bicycle': 'no', 'highway': 'footway', 'surface': 'compacted', 'width': '2'}",1,0,0.014190118546986001,620405424,616593892,20617559710,2061755971
14,82,way,48535376,"[616593892, 616593889]","{'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'surface': 'paved', 'width': '3'}",1,0,0.011798372977218,616593892,616593889,4853537610,485353761
15,93,way,48851843,"[616593889, 4057919540]","{'bicycle': 'no', 'highway': 'footway', 'surface': 'compacted', 'width': '2'}",1,0,0.0048594314497160005,616593889,4057919540,4885184310,488518431
16,745,way,48851855,"[4057919540, 619778025]","{'bicycle': 'no', 'foot': 'yes', 'highway': 'path', 'horse': 'no', 'ski': 'no', 'snowmobile': 'no', 'surface': 'pebblestone', 'width': '0.5'}",2,1,0.004033405244763,4057919540,619778025,4885185521,488518552
17,569,way,48851856,"[619778025, 4057919536, 619778008]","{'bicycle': 'no', 'foot': 'yes', 'highway': 'path', 'horse': 'no', 'ski': 'no', 'snowmobile': 'no', 'surface': 'pebblestone', 'width': '0.5'}",0,1,0.0078008032113160005,619778025,619778008,4885185601,488518560
18,868,way,48851854,"[619778008, 8692906134, 619778002]","{'bicycle': 'no', 'highway': 'path', 'horse': 'no', 'ski': 'no', 'snowmobile': 'no', 'surface': 'pebblestone', 'width': '0.5'}",4,1,0.005309263786708001,619778008,619778002,4885185441,488518544
19,825,way,48851858,"[619778002, 619778010, 8692906126, 619778033]","{'bicycle': 'no', 'foot': 'yes', 'highway': 'path', 'horse': 'no', 'ski': 'no', 'snowmobile': 'no', 'surface': 'pebblestone', 'width': '0.5'}",3,1,0.010536937583715001,619778002,619778033,4885185831,488518583
